github_url,exists,readme,readme_length,installation,CI,docs,fancy_docs,examples,requirements,setup
github.com/astrostat/lira\tvan\tdyk\tet\tal,False,False,False,False,False,False,False,False,False,False
github.com/astroua/dynclass,True,True,470,False,False,False,False,False,False,False
github.com/astrovpk/libcarma,True,True,10846,True,False,True,False,True,True,False
github.com/atchekho/harmpi,True,True,10456,False,False,False,False,True,False,False
github.com/atomdb/xscat,True,True,6982,True,False,True,False,False,False,False
github.com/awmann/m,False,False,False,False,False,False,False,False,False,False
github.com/awmann/m_-m_k-,True,True,3866,True,False,False,False,False,True,False
github.com/awmann/metal,True,True,617,False,False,False,False,False,False,False
github.com/awmann/teff_rad_mass_lum,True,True,1943,False,False,False,False,False,False,False
github.com/awmann/teﬀ,False,False,False,False,False,False,False,False,False,False
github.com/awmann/teﬀ_rad_mass_lum,False,False,False,False,False,False,False,False,False,False
github.com/barentsen/iphas-dr2,True,True,2619,False,False,False,False,False,False,False
github.com/barnabytprowe/great3-public,True,True,937,False,False,False,False,False,False,False
github.com/bayesflare/bayesflare,True,True,1093,False,False,True,True,False,True,False
github.com/bbhpsu/pflueger_etal18,True,True,1596,False,False,False,False,False,False,False
github.com/bcalden/xray-tmap-pypeline,False,False,False,False,False,False,False,False,False,False
github.com/bccp/conda-channel-bccp,True,True,6164,True,True,False,False,False,False,False
github.com/bccp/nbodykit,True,True,3948,True,True,True,True,False,True,False
github.com/bckelly80/carma_pack,True,True,5769,True,False,False,False,True,False,False
github.com/bd-j/prospector,True,True,2555,False,False,True,True,False,True,False
github.com/bd-j/spi,True,True,1246,False,False,False,False,False,True,False
github.com/bdhammel/least-squares-ellipse-ﬁtting,False,False,False,False,False,False,False,False,False,False
github.com/beast-fitting/beast,True,True,6491,False,True,True,True,False,True,False
github.com/becot85/jinapycee,True,True,3536,True,False,False,True,False,True,False
github.com/benanne/kaggle-galaxies,True,True,6299,True,False,True,False,False,False,False
github.com/benbaror/scrrpy,True,True,1488,False,True,True,True,True,True,False
github.com/bencebeky/spotrod,True,True,2076,False,False,False,False,False,False,False
github.com/benelson/hjs,False,False,False,False,False,False,False,False,False,False
github.com/benjaminpope/inclinations,True,True,324,False,False,False,False,False,False,False
github.com/benjaminrose/mc-age,True,False,False,False,True,True,False,False,True,False
github.com/benmontet/f3,True,True,2381,True,False,True,True,False,True,False
