arxiv_id,urls
arXiv:1710.06758,"['github.com/' 'github.com/JeffLCoughlin/EphemMatch'
 'github.com/JeffLCoughlin/Model-Shift' 'github.com/JeffLCoughlin/skye'
 'github.com/nasa/kepler-pipeline' 'github.com/nasa/kepler-robovetter'
 'github.com/nasa/kepler-robovetter),']"
arXiv:1801.07831,['github.com/hannorein/' 'github.com/smillholland/GJ876']
arXiv:1705.03424,['github.com/mpanning/EuropaNoise' 'github.com/vancesteven/PlanetProﬁle)']
arXiv:1803.07084,"['github.com/jrka/pyradexnest' 'github.com/keflavich/pyradex'
 'github.com/keflavich/pyradex),']"
arXiv:1811.01408,"['github.com/astropy/astroscrappy' 'github.com/astropy/astroscrappy,'
 'github.com/juliotux/astropop'
 'github.com/juliotux/astropop/blob/master/'
 'github.com/toros-astro/astroalign']"
arXiv:1702.00013,"['github.com/California-Planet-Search/radvel'
 'github.com/California-Planet-Search/radvel),'
 'github.com/petigura/k2phot' 'github.com/petigura/k2phot)']"
arXiv:1703.06754,['github.com/sophiemurray/moswoc-ﬂare-veriﬁcation;']
arXiv:1810.08145,[]
arXiv:1804.08720,['github.com/mpanning/MSL-experiment']
arXiv:1803.01050,"['github.com/ishivvers/TheKastShiv' 'github.com/ishivvers/TheKastShiv),'
 'github.com/kbarbary/extinction' 'github.com/kbarbary/extinction),'
 'github.com/spacetelescope/pysynphot'
 'github.com/spacetelescope/pysynphot)']"
arXiv:1711.00977,['github.com/phayne/heat1d']
arXiv:1810.13148,['github.com/AstroChem/vis']
arXiv:1609.08110,[]
arXiv:1710.02427,"['github.com/exoclime/HELIOS)' 'github.com/pcubillos/ApJtemplate)'
 'github.com/pcubillos/CubillosEtal2017' 'github.com/pcubillos/pyratbay']"
arXiv:1710.08297,"['github.com/bobkopp/LocalizeSL),' 'github.com/bobkopp/ProjectSL),'
 'github.com/bobkopp/SESL)']"
arXiv:1711.03322,['github.com/swolﬀ9/mcfost-' 'github.com/swolﬀ9/mcfost-python']
arXiv:1807.04420,"['github.com/dfm/python-bls'
 'github.com/gummiks/Diffuser-Assisted-K2-Followup']"
arXiv:1804.04772,['github.com/virangaperera/iMagma']
arXiv:1708.02630,['github.com/nyusngroup/SESNtemple' 'github.com/nyusngroup/SESNtemple/']
arXiv:1606.01255,[]
arXiv:1808.01839,['github.com/vtsuperdarn/davitpy)']
arXiv:1710.10213,"['github.com/dfm/corner' 'github.com/dfm/emcee,']"
arXiv:1901.04558,"['github.com/' 'github.com/LucaMalavolta/'
 'github.com/danxhuber/isoclassify' 'github.com/dfm/corner'
 'github.com/dfm/emcee' 'github.com/lkreidberg/batman']"
arXiv:1808.07483,"['github.com/fjdu/myRadex' 'github.com/fjdu/myRadex),']"
arXiv:1604.01032,"['github.com/allisony/lyapy),' 'github.com/parkus/scicatalog),']"
arXiv:1307.6212,[]
arXiv:1804.08590,['github.com/agabrown/PyGaia' 'github.com/dfm/emcee']
arXiv:1708.01531,"['github.com/DarkEnergySurvey/GCM' 'github.com/DarkEnergySurvey/PSM'
 'github.com/GalSim-developers/GalSim' 'github.com/esheldon/fitsio'
 'github.com/esheldon/ngmix' 'github.com/esheldon/psfex'
 'github.com/healpy/healpy' 'github.com/ixkael/QuickSip']"
arXiv:1701.06703,"['github.com/BrownDwarf/welter' 'github.com/gully/'
 'github.com/iancze/Starfish']"
arXiv:1706.06837,['github.com/astroML/gatspy/' 'github.com/astroML/gatspy/)']
arXiv:1710.03840,['github.com/jradavenport/jradavenport_idl/blob/master/todcor']
arXiv:1605.02732,['github.com/astrofrog/sedfitter']
arXiv:1601.00038,"['github.com/mrawls/BF-rvplotter' 'github.com/sczesla/PyAstronomy),']"
arXiv:1709.01093,"['github.com/BEAST-Fitting/beast' 'github.com/mfouesneau/pyextinction,']"
arXiv:1811.06020,['github.com/joshspeagle/' 'github.com/joshspeagle/dynesty']
arXiv:1609.07155,['github.com/andrewcumming/crustcool']
arXiv:1802.09812,"['github.com/HIPS/autograd' 'github.com/farr/Aldebaran'
 'github.com/farr/CARMA' 'github.com/farr/Ensemble']"
arXiv:1810.10080,['github.com/USGS-Astrogeology/ISIS3)']
arXiv:1601.05821,['github.com/pynbody/pynbody;']
arXiv:1801.03097,"['github.com/DarkEnergySurvey/ugali'
 'github.com/PaulMcMillan-Astro/GalPot' 'github.com/esheldon/fitsio'
 'github.com/esheldon/ngmix' 'github.com/healpy/healpy']"
arXiv:1901.00051,"['github.com/joshspeagle/dynesty),']"
