github_url,repo_name,mentions,n_unq_authors,n_unq_first_authors,arxiv_ids,citation_count,nasa_ack_mentions,unq_keywords
github.com/danxhuber/galclassify,galclassify,2,34,2,"['arXiv:1512.02643', 'arXiv:1801.03874']",123,2,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'catalogs' 'eclipses'
 'planetary systems' 'proper motions' 'stars: fundamental parameters'
 'stars: individual: K2-138' 'stars: late-type' 'techniques: photometric'
 'techniques: spectroscopic']"
github.com/danxhuber/isoclassify,isoclassify,9,223,7,"['arXiv:1703.10402', 'arXiv:1901.04558', 'arXiv:1705.04697', 'arXiv:1711.06377', 'arXiv:1903.01591', 'arXiv:1901.01643', 'arXiv:1801.07320', 'arXiv:1803.07430', 'arXiv:1712.04042']",196,7,"['2MASS J19162203─1546159' 'Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'CWW 93' 'EPIC 21980081'
 'NGC 6774' 'methods: statistical'
 'open clusters and associations: individual: Cas-Tau'
 'open clusters and associations: individual: Ruprecht 147' 'parallaxes'
 'planetary systems' 'planets and satellites: composition'
 'planets and satellites: detection' 'planets and satellites: formation'
 'planets and satellites: fundamental parameters'
 'planets and satellites: gaseous planets'
 'planets and satellites: general'
 'planets and satellites: individual: EPIC 247267267 b'
 'planets and satellites: physical evolution' 'stars: abundances'
 'stars: distances' 'stars: fundamental parameters'
 'stars: individual:: K2-231' 'stars: late-type' 'stars: low-mass'
 'stars: oscillations' 'techniques: photometric'
 'techniques: radial velocities' 'techniques: spectroscopic']"
github.com/danxhuber/k2epic,k2epic,1,9,1,['arXiv:1512.02643'],115,1,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'catalogs'
 'planetary systems' 'proper motions' 'stars: fundamental parameters'
 'stars: late-type' 'techniques: photometric']"
github.com/darkenergysurvey/ugali,ugali,4,111,4,"['arXiv:1609.02148', 'arXiv:1806.02345', 'arXiv:1804.07761', 'arXiv:1801.03097']",112,3,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena' 'Galaxy: halo'
 'Galaxy: structure' 'Local Group' 'Magellanic Clouds' 'dark matter'
 'galaxies: dwarf' 'galaxies: individual: Tucana III'
 'galaxies: kinematics and dynamics' 'proper motions' 'stars: abundances'
 'stars: kinematics and dynamics']"
github.com/darrencroton/sage,sage,10,42,7,"['arXiv:1701.00173', 'arXiv:1806.11284', 'arXiv:1706.07434', 'arXiv:1605.00647', 'arXiv:1903.11151', 'arXiv:1706.06595', 'arXiv:1902.01611', 'arXiv:1710.08150']",59,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Cosmology: distance scale' 'Cosmology: large' 'Gravitation'
 'Scale structure of Universe' 'Surveys' 'catalogues' 'cosmology: theory'
 'dark ages' 'first stars' 'galaxies: ISM' 'galaxies: active'
 'galaxies: evolution' 'galaxies: formation' 'galaxies: general'
 'galaxies: groups: general' 'galaxies: haloes' 'galaxies: high redshift'
 'galaxies: interactions' 'galaxies: jets' 'galaxies: spiral'
 'galaxies: star formation' 'galaxies: statistics' 'galaxies: structure'
 'large-scale structure of Universe' 'methods: analytical'
 'methods: numerical' 'quasars: general' 'reionization']"
github.com/dask/distributed,distributed,2,19,2,"['arXiv:1802.03084', 'arXiv:1703.08867']",24,0,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'instrumentation: adaptive optics' 'instrumentation: detectors'
 'instrumentation: interferometers' 'methods: data analysis'
 'radio continuum: general' 'surveys' 'techniques: image processing']"
github.com/david-macmahon/hashpipe,hashpipe,4,44,4,"['arXiv:1904.07778', 'arXiv:1708.00720', 'arXiv:1707.06024', 'arXiv:1607.03579']",21,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Computer Science - Distributed' 'Instrumentation' 'Parallel'
 'Physics - Instrumentation and Detectors' 'and Cluster Computing'
 'data analysis-methods' 'miscellaneous-methods' 'numerical-methods'
 'observational']"
github.com/davidgardenier/chromos,chromos,0,0,0,[],0.0,0.0,[]
github.com/davidkipping/forecaster,forecaster,1,22,1,['arXiv:1801.07320'],7,1,"['Astrophysics - Earth and Planetary Astrophysics'
 'open clusters and associations: individual: Cas-Tau' 'planetary systems'
 'planets and satellites: gaseous planets'
 'planets and satellites: individual: EPIC 247267267 b'
 'planets and satellites: physical evolution' 'stars: low-mass']"
github.com/davidreiman/deblender-gan-images,deblender-gan-images,1,2,1,['arXiv:1810.10098'],2,0,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Computer Science - Machine Learning' 'Statistics - Machine Learning'
 'galaxies: general' 'methods: data analysis'
 'techniques: image processing']"
github.com/davidwhogg/selfcalibration,selfcalibration,1,3,1,['arXiv:1203.6255'],3,1,['Astrophysics - Instrumentation and Methods for Astrophysics']
github.com/dawolfgang/mrrelation,mrrelation,3,69,3,"['arXiv:1608.04760', 'arXiv:1601.02706', 'arXiv:1806.11504']",66,3,"['Astrophysics - Earth and Planetary Astrophysics' 'K2-9' 'eclipses'
 'planetary systems' 'planets and satellites: detection'
 'stars: individual: K2-26' 'stars: individual: K2-95' 'stars: low-mass'
 'techniques: photometric' 'techniques: spectroscopic']"
github.com/ddemidov/vexcl,vexcl,11,24,8,"['arXiv:1601.03144', 'arXiv:1811.05704', 'arXiv:1609.00724', 'arXiv:1902.07920', 'arXiv:1901.05231', 'arXiv:1212.6326', 'arXiv:1709.07781', 'arXiv:1410.4054', 'arXiv:1609.01257']",12,1,"['35-04' '65-04' '65F10 (Secondary)' '65F50' '65Y05' '65Y05 (Primary)'
 '65Y10' '65Y15' '97N80' 'Astrophysics - Solar and Stellar Astrophysics'
 'Computer Science - Distributed'
 'Computer Science - Mathematical Software'
 'Computer Science - Performance'
 'Computer Science - Social and Information Networks'
 'Condensed Matter - Mesoscale and Nanoscale Physics' 'D.1.3' 'D.2.2'
 'G.1.3' 'Parallel' 'Physics - Computational Physics'
 'Physics - Physics and Society' 'Quantitative Finance - General Finance'
 'Sun: magnetic fields' 'and Cluster Computing']"
github.com/demorest/nanopipe,nanopipe,6,128,5,"['arXiv:1512.08326', 'arXiv:1505.07540', 'arXiv:1509.08982', 'arXiv:1610.01731', 'arXiv:1801.02617', 'arXiv:1801.01837']",287,6,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'General Relativity and Quantum Cosmology' 'binaries: general'
 'ephemerides' 'gravitational waves' 'inflation' 'methods: data analysis'
 'parallaxes' 'proper motions' 'pulsars: general'
 'quasars: supermassive black holes' 'stars: neutron']"
github.com/demorest/sdmpy,sdmpy,2,51,2,"['arXiv:1802.01707', 'arXiv:1701.01098']",253,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics'
 'General Relativity and Quantum Cosmology'
 'pulsars: individual: PSR J1946+2052']"
github.com/devanshkv/psrpoppy2,psrpoppy2,2,32,2,"['arXiv:1811.04086', 'arXiv:1808.03710']",12,1,"['Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Solar and Stellar Astrophysics' 'PSR 1946+2052'
 'PSR J1757─1854' 'PSR J1906+0746' 'gravitational waves'
 'methods: data analysis' 'pulsars: general'
 'pulsars: individual: PSR J0737─3039A']"
github.com/dfm/acor,acor,8,59,7,"['arXiv:1405.6721', 'arXiv:1904.06769', 'arXiv:1609.02186', 'arXiv:1901.05855', 'arXiv:1902.02789', 'arXiv:1212.1721']",84,3,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Extragalactic Astrophysics'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Cloud computing' 'Cosmological parameter estimation' 'Galaxy: halo'
 'Galaxy: kinematics and dynamics' 'K2-288Bb'
 'Markov chain Monte Carlo methods' 'Milky Way' 'Statistics - Methodology'
 'astronomy' 'astrophysics' 'binaries: close' 'dark matter' 'dynamics'
 'kinematics' 'planets and satellites: detection'
 'planets and satellites: fundamental parameters'
 'planets and satellites: individual: EPIC210693462Bb'
 'techniques: photometric' 'techniques: spectroscopic']"
github.com/dfm/celerite,celerite,5,71,4,"['arXiv:1801.10156', 'arXiv:1703.09710', 'arXiv:1711.03329', 'arXiv:1811.05955', 'arXiv:1812.08549']",88,2,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'Physics'
 'Physics - Data Analysis' 'Statistics - Applications'
 'Statistics and Probability' 'asteroseismology' 'methods: data analysis'
 'methods: statistical' 'planetary systems' 'stars: rotation']"
github.com/dfm/daft,daft,2,14,2,"['arXiv:1801.03949', 'arXiv:1709.00942']",15,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'galaxies: evolution' 'galaxies: high-redshift'
 'galaxies: individual: M31' 'galaxies: kinematics and dynamics'
 'galaxies: photometry' 'galaxies: star formation' 'galaxies: statistics'
 'infrared: galaxies' 'methods: statistical'
 'stars: individual: Planetary Nebulae']"
github.com/dfm/emcee,emcee,32,381,32,"['arXiv:1202.3665', 'arXiv:1804.08590', 'arXiv:1710.10213', 'arXiv:1807.00869', 'arXiv:1901.04558', 'arXiv:1710.09852', 'arXiv:1708.01076', 'arXiv:1511.03550', 'arXiv:1703.06885', 'arXiv:1704.05556', 'arXiv:1611.00691', 'arXiv:1811.09232', 'arXiv:1810.02847', 'arXiv:1806.06089', 'arXiv:1805.01298', 'arXiv:1311.6678', 'arXiv:1511.01183', 'arXiv:1904.04966', 'arXiv:1711.03329', 'arXiv:1811.05955', 'arXiv:1807.09979', 'arXiv:1502.06621', 'arXiv:1602.07189', 'arXiv:1901.05496', 'arXiv:1901.05011', 'arXiv:1805.07359', 'arXiv:1804.02399', 'arXiv:1705.04329', 'arXiv:1404.7414', 'arXiv:1706.03173', 'arXiv:1706.02362', 'arXiv:1904.08290']",3067,12,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Extragalactic Astrophysics'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics'
 'Computer Science - Machine Learning'
 'Computer Science - Software Engineering' 'Galaxy: halo'
 'Galaxy: kinematics and dynamics' 'Galaxy: structure'
 'General Relativity and Quantum Cosmology'
 'Hertzsprung─Russell and C─M diagrams' 'High Energy Physics - Theory'
 'Local Group' 'Mathematics - Optimization and Control' 'NGC 5102'
 'Nuclear Experiment' 'Nuclear Theory' 'Physics'
 'Physics - Computational Physics' 'Physics - Optics'
 'Statistics - Computation' 'Statistics - Machine Learning' 'and NGC 5206'
 'astrobiology' 'eclipses' 'galaxies: clusters: general' 'galaxies: dwarf'
 'galaxies: evolution' 'galaxies: formation'
 'galaxies: individual: NGC 205' 'galaxies: kinematics and dynamics'
 'galaxies: nuclei' 'galaxies: star clusters: general'
 'galaxies: star formation' 'gravitational lensing: weak' 'mass function'
 'methods: numerical' 'planetary systems'
 'planets and satellites: composition' 'planets and satellites: detection'
 'planets and satellites: dynamical evolution and stability'
 'planets and satellites: oceans' 'planets and satellites: surfaces'
 'planets and satellites: terrestrial planets'
 'quasars: supermassive black holes' 'stars: individual: Kepler-19'
 'stars: luminosity function' 'techniques: photometric'
 'techniques: radial velocities']"
github.com/dfm/emcee3,emcee3,0,0,0,[],0.0,0.0,[]
github.com/dfm/exopop,exopop,1,3,1,['arXiv:1406.3020'],124,1,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics' 'catalogs'
 'methods: data analysis' 'methods: statistical' 'planetary systems'
 'stars: statistics']"
github.com/dfm/george,george,9,90,9,"['arXiv:1403.6015', 'arXiv:1511.03550', 'arXiv:1801.03502', 'arXiv:1711.02219', 'arXiv:1708.01291', 'arXiv:1610.06673', 'arXiv:1711.03329', 'arXiv:1902.10694', 'arXiv:1706.02362']",265,2,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'K2-141c' 'Kepler-448 b'
 'Mathematics - Numerical Analysis' 'Mathematics - Statistics Theory'
 'Physics' 'WASP-79 b' 'catalogs' 'cosmology: observations'
 'galaxies: distances and redshifts' 'galaxies: photometry'
 'gravitational lensing: weak' 'line: profiles' 'methods: data analysis'
 'methods: statistical' 'planetary systems'
 'planets and satellites: composition'
 'planets and satellites: individual: K2-141b'
 'planets and satellites: individual:: HAT-P-41 b'
 'planets and satellites: interiors' 'stars: individual: K2-141' 'surveys'
 'techniques: photometric' 'techniques: radial velocities'
 'techniques: spectroscopic']"
github.com/dfm/k2-paper,k2-paper,0,0,0,[],0.0,0.0,[]
github.com/dfm/ketu,ketu,1,6,1,['arXiv:1502.04715'],76,1,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics' 'catalogs'
 'methods: data analysis' 'methods: statistical' 'planetary systems'
 'stars: statistics']"
github.com/dfm/photodynam,photodynam,3,32,3,"['arXiv:1409.1349', 'arXiv:1512.00189', 'arXiv:1810.09565']",71,3,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Kepler-1647' 'binaries: eclipsing' 'celestial mechanics' 'chaos'
 'methods: analytical' 'methods: numerical' 'planetary systems'
 'planets and satellites: dynamical evolution and stability'
 'planets and satellites: fundamental parameters'
 'stars: individual: KIC-5473556' 'stars: individual: Kepler-47'
 'techniques: photometric']"
github.com/dfm/python-bls,python-bls,4,42,3,"['arXiv:1602.01851', 'arXiv:1812.06150', 'arXiv:1807.04420']",17,2,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'EPIC 201546283'
 'EPIC 201577035' 'Software' 'planetary systems'
 'planets and satellites: fundamental parameters'
 'stars: fundamental parameters' 'stars: individual: EPIC 201295312'
 'techniques: photometric']"
github.com/dfm/python-fsps,python-fsps,5,22,4,"['arXiv:1509.06377', 'arXiv:1805.06905', 'arXiv:1609.09073', 'arXiv:1803.02374', 'arXiv:1604.08592']",503,3,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'dust' 'extinction'
 'galaxies: ISM' 'galaxies: evolution' 'galaxies: fundamental parameters'
 'galaxies: star formation' 'stars: evolution' 'stars: general'
 'stars: interiors']"
github.com/dgerosa/precession,precession,3,8,2,"['arXiv:1605.01067', 'arXiv:1709.01943', 'arXiv:1712.02643']",51,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'General Relativity and Quantum Cosmology']"
github.com/dgerosa/surrkick,surrkick,1,3,1,['arXiv:1802.04276'],13,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'General Relativity and Quantum Cosmology']"
github.com/dhanson/qcinv,qcinv,1,2,1,['arXiv:1704.08230'],17,1,['Astrophysics - Cosmology and Nongalactic Astrophysics']
github.com/dhanson/quicklens,quicklens,10,301,8,"['arXiv:1712.07541', 'arXiv:1809.02120', 'arXiv:1705.00743', 'arXiv:1810.02441', 'arXiv:1810.02342', 'arXiv:1810.01483', 'arXiv:1711.10524', 'arXiv:1612.07126', 'arXiv:1904.07887', 'arXiv:1707.02259']",85,0,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Computer Science - Computer Vision and Pattern Recognition'
 'cosmic background radiation' 'cosmological parameters'
 'gravitational lensing: weak' 'large-scale structure of universe']"
github.com/dhuppenkothen/magnetron2,magnetron2,1,6,1,['arXiv:1809.08249'],5,1,"['Astrophysics - High Energy Astrophysical Phenomena' 'galaxies: active'
 'galaxies: jets' 'relativistic processes']"
github.com/dirac-institute/cometperiodsearch,cometperiodsearch,1,12,1,['arXiv:1711.04927'],31,0,"['Astrophysics - Earth and Planetary Astrophysics'
 'asteroids: individual: 1I&amp;2017 U1 (‘Oumuamua'
 'local interstellar matter' 'minor planets']"
github.com/djones1040/beams,beams,4,41,2,"['arXiv:1611.07042', 'arXiv:1811.09286', 'arXiv:1710.00846']",51,2,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'cosmology: observations' 'dark energy' 'supernovae: general']"
github.com/djones1040/pyphot,pyphot,1,30,1,['arXiv:1505.06211'],42,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'galaxies: clusters: general'
 'galaxies: clusters: individual: Abell 2744'
 'gravitational lensing: strong' 'gravitational lensing: weak'
 'supernovae: general' 'supernovae: individual: HFF14Tom']"
github.com/djones1040/pythonphot,pythonphot,5,67,4,"['arXiv:1512.04654', 'arXiv:1902.05510', 'arXiv:1707.02434', 'arXiv:1512.05734']",109,4,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'cosmology: observations'
 'galaxies: clusters: general'
 'galaxies: clusters: individual: MACS J1149.6+2223'
 'galaxies: individual: MACS J1149.5+2223' 'gravitational lensing: strong'
 'methods: observational' 'supernovae: general'
 'supernovae: individual: SN Refsdal']"
github.com/dkirkby/speclite,speclite,1,10,1,['arXiv:1901.05508'],0,1,"['1988Z' 'Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Solar and Stellar Astrophysics' 'circumstellar matter'
 'stars: mass-loss' 'supernovae: general'
 'supernovae: individual: KISS15s']"
github.com/dkmagee/superalign,superalign,1,18,1,['arXiv:1806.01853'],8,1,"['Astrophysics - Astrophysics of Galaxies' 'cosmology: observations'
 'galaxies: abundances' 'galaxies: evolution'
 'techniques: image processing']"
github.com/dmitryduev/broker,broker,1,50,1,['arXiv:1902.01936'],9,0,['Astrophysics - Instrumentation and Methods for Astrophysics']
github.com/dmlc/xgboost,xgboost,47,234,46,"['arXiv:1806.11248', 'arXiv:1612.00959', 'arXiv:1510.00624', 'arXiv:1812.06700', 'arXiv:1603.02754', 'arXiv:1812.04346', 'arXiv:1808.02831', 'arXiv:1712.06919', 'arXiv:1609.08209', 'arXiv:1612.07117', 'arXiv:1803.00758', 'arXiv:1904.05661', 'arXiv:1903.00261', 'arXiv:1901.07744', 'arXiv:1711.05098', 'arXiv:1602.07226', 'arXiv:1610.05009', 'arXiv:1605.00711', 'arXiv:1809.03559', 'arXiv:1803.10402', 'arXiv:1803.10260', 'arXiv:1802.04198', 'arXiv:1703.05291', 'arXiv:1509.07892', 'arXiv:1902.04189', 'arXiv:1901.08755', 'arXiv:1810.10102', 'arXiv:1805.11557', 'arXiv:1803.08986', 'arXiv:1712.07120', 'arXiv:1709.09077', 'arXiv:1702.04642', 'arXiv:1511.04317', 'arXiv:1611.08596', 'arXiv:1901.09594', 'arXiv:1808.08974', 'arXiv:1811.07155', 'arXiv:1809.06705', 'arXiv:1809.01771', 'arXiv:1806.06859', 'arXiv:1704.04659', 'arXiv:1606.00930', 'arXiv:1703.00564', 'arXiv:1803.08978']",200,2,"['Artificial neural networks' 'Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'Beyond Standard Model' 'Computer Science - Artificial Intelligence'
 'Computer Science - Computation and Language'
 'Computer Science - Computational Engineering'
 'Computer Science - Computer Vision and Pattern Recognition'
 'Computer Science - Cryptography and Security'
 'Computer Science - Digital Libraries' 'Computer Science - Distributed'
 'Computer Science - Human-Computer Interaction'
 'Computer Science - Information Retrieval'
 'Computer Science - Machine Learning'
 'Computer Science - Social and Information Networks' 'D.2.8'
 'Data analysis stars' 'Digital rock' 'Economics - General Economics'
 'Finance' 'Galaxy: halo' 'Gradient boosting' 'H.3' 'H.3.3'
 'Hadron-Hadron scattering (experiments)'
 'High Energy Physics - Experiment' 'High Energy Physics - Phenomenology'
 'I.2.6' 'Machine learning' 'Methods' 'Neutron' 'Parallel'
 'Permeability prediction' 'Physics - Chemical Physics'
 'Physics - Computational Physics' 'Physics - Data Analysis'
 'Physics - Geophysics' 'Physics - Space Physics'
 'Quantitative Finance - General Finance' 'Statistics - Applications'
 'Statistics - Machine Learning' 'Statistics and Probability'
 'and Cluster Computing' 'and Science' 'catalogs'
 'cosmology: observations' 'dark matter' 'galaxies: evolution'
 'galaxies: formation' 'galaxies: high-redshift' 'galaxies: starburst'
 'gamma rays: general' 'methods: data analysis' 'methods: statistical'
 'pulsars: general' 'stars: variables: RR Lyrae' 'submillimeter: galaxies'
 'surveys']"
github.com/dnidever/noaosourcecatalog,noaosourcecatalog,1,9,1,['arXiv:1801.01885'],6,1,['Astrophysics - Astrophysics of Galaxies' 'catalogs' 'surveys']
github.com/dnidever/photred,photred,6,43,4,"['arXiv:1609.05918', 'arXiv:1503.06216', 'arXiv:1805.02671', 'arXiv:1510.05539', 'arXiv:1804.07765', 'arXiv:1701.00502']",174,3,"['Astrophysics - Astrophysics of Galaxies' 'Local Group'
 'Magellanic Clouds' 'Small Magellanic Cloud' 'galaxies: ISM'
 'galaxies: dwarf' 'galaxies: halos' 'galaxies: individual: Hydra II'
 'galaxies: individual: Large Magellanic Cloud' 'galaxies: interactions'
 'galaxies: structure' 'globular clusters: individual: SMASH 1'
 'stars: variables: RR Lyrae' 'stars: variables: general' 'surveys']"
github.com/dnidever/smashred,smashred,1,39,1,['arXiv:1701.00502'],27,1,"['Astrophysics - Astrophysics of Galaxies' 'Local Group'
 'Magellanic Clouds' 'Small Magellanic Cloud' 'galaxies: dwarf'
 'galaxies: individual: Large Magellanic Cloud' 'surveys']"
github.com/dnkasen/kasen_kilonova_models_2017,kasen_kilonova_models_2017,3,19,3,"['arXiv:1710.05463', 'arXiv:1805.09371', 'arXiv:1711.09638']",261,1,"['Astrophysics - High Energy Astrophysical Phenomena'
 'General Relativity and Quantum Cosmology' 'atomic processes'
 'gravitational waves' 'nucleosynthesis' 'opacity' 'stars: neutron']"
github.com/donlok/decouple,decouple,1,3,1,['arXiv:1805.09413'],0,1,['Astrophysics - Instrumentation and Methods for Astrophysics']
github.com/donlok/photometry_astrometry,photometry_astrometry,1,3,1,['arXiv:1805.09413'],0,1,['Astrophysics - Instrumentation and Methods for Astrophysics']
github.com/dougalsutherland/py-sdm,py-sdm,1,6,1,['arXiv:1410.0686'],23,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'cosmology: theory' 'dark matter' 'galaxies: clusters: general'
 'galaxies: kinematics and dynamics' 'gravitation'
 'large-scale structure of universe' 'methods: statistical']"
github.com/drlaw1558/osiris,osiris,1,6,1,['arXiv:1809.04089'],1,1,"['Astrophysics - Astrophysics of Galaxies' 'galaxies: active'
 'galaxies: fundamental parameters' 'galaxies: high-redshift'
 'galaxies: structure']"
github.com/drphilmarshall/om10,om10,3,63,3,"['arXiv:1410.4565', 'arXiv:1409.1254', 'arXiv:1809.01669']",117,0,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'gravitational lensing: strong' 'methods: data analysis'
 'methods: statistical' 'techniques: image processing']"
github.com/drphilmarshall/pangloss,pangloss,1,10,1,['arXiv:1502.03795'],26,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'galaxies: high-redshift' 'galaxies: luminosity function'
 'gravitational lensing: strong' 'mass function']"
github.com/drsteve/pyforecasttools,pyforecasttools,2,12,2,['arXiv:1901.00143'],2,2,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Physics - Space Physics' 'Python' 'ensembles' 'geomagnetic storm'
 'heliophysics' 'numerical modeling' 'open source' 'reproducible science'
 'resampling' 'software' 'space weather' 'system science' 'uncertainty']"
github.com/drupke/ifsfit,ifsfit,1,2,1,['arXiv:1411.3744'],28,1,"['Astrophysics - Astrophysics of Galaxies' 'ISM: jets and outflows'
 'galaxies: ISM' 'galaxies: active' 'galaxies: individual: F05189-2524'
 'galaxies: kinematics and dynamics']"
github.com/drupke/ifsred,ifsred,1,2,1,['arXiv:1411.3744'],28,1,"['Astrophysics - Astrophysics of Galaxies' 'ISM: jets and outflows'
 'galaxies: ISM' 'galaxies: active' 'galaxies: individual: F05189-2524'
 'galaxies: kinematics and dynamics']"
github.com/dstndstn/tractor,tractor,4,395,4,"['arXiv:1804.08657', 'arXiv:1703.07490', 'arXiv:1806.05786', 'arXiv:1611.00036']",380,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics' 'catalogs'
 'galaxies: active' 'galaxies: halos' 'galaxies: high-redshift'
 'intergalactic medium' 'quasars: absorption lines'
 'quasars: emission lines' 'quasars: general' 'surveys']"
github.com/dtamayo/reboundx,reboundx,5,13,5,"['arXiv:1704.02957', 'arXiv:1809.02200', 'arXiv:1609.08110', 'arXiv:1804.05065', 'arXiv:1610.03436']",63,3,"['-1647' 'Astrophysics - Earth and Planetary Astrophysics' 'NN Ser'
 'binaries: close' 'binaries: eclipsing' 'celestial mechanics' 'chaos'
 'methods: numerical' 'planetary systems'
 'planets and satellites: dynamical evolution and stability'
 'planets and satellites: formation' 'planet─disk interactions'
 'stars: individual: Kepler-47' 'techniques: photometric']"
github.com/duffell/disco,disco,1,1,1,['arXiv:1605.03577'],13,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'Physics - Computational Physics' 'accretion' 'accretion disks'
 'hydrodynamics' 'protoplanetary disks']"
github.com/duffell/rt1d,rt1d,1,1,1,['arXiv:1504.02200'],14,1,"['Astrophysics - High Energy Astrophysical Phenomena'
 'ISM: jets and outflows' 'ISM: supernova remnants' 'hydrodynamics'
 'instabilities' 'shock waves' 'turbulence']"
github.com/dzesmin/rrc-blecicetal-2017-apj-3dretriev,rrc-blecicetal-2017-apj-3dretriev,1,3,1,['arXiv:1803.06678'],4,1,"['Astrophysics - Earth and Planetary Astrophysics' 'methods: numerical'
 'planets and satellites: atmospheres'
 'planets and satellites: composition'
 'planets and satellites: gaseous planets'
 'planets and satellites: individual: HD 189733b']"
github.com/dzesmin/tea-examples,tea-examples,2,3,1,"['arXiv:1505.06392', 'arXiv:1604.02692']",25,1,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'astrochemistry' 'methods: numerical' 'molecular processes'
 'planets and satellites: atmospheres'
 'planets and satellites: composition'
 'planets and satellites: gaseous planets']"
