github_url,repo_name,mentions,n_unq_authors,n_unq_first_authors,arxiv_ids,citation_count,nasa_ack_mentions,unq_keywords
github.com/atomdb/xscat,xscat,2,10,2,"['arXiv:1602.07766', 'arXiv:1605.01648']",38,0,"['Astrophysics - High Energy Astrophysical Phenomena' 'X-rays: ISM'
 'X-rays: binaries' 'dust' 'extinction' 'methods: data analysis'
 'stars: individual: V404 Cyg']"
github.com/awmann/m_-m_k-,m_-m_k-,2,19,2,"['arXiv:1808.07068', 'arXiv:1811.06938']",19,2,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'binaries: visual'
 'mass function' 'open clusters and associations: general'
 'planetary systems' 'planets and satellites: formation'
 'stars: late-type' 'stars: low-mass' 'stars: luminosity function']"
github.com/awmann/metal,metal,9,86,9,"['arXiv:1409.7135', 'arXiv:1605.07211', 'arXiv:1507.08256', 'arXiv:1501.03798', 'arXiv:1608.04760', 'arXiv:1601.02706', 'arXiv:1403.5560', 'arXiv:1511.09213', 'arXiv:1412.2758']",549,8,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'K2-9'
 'binaries: general' 'binaries: visual' 'eclipses' 'planetary systems'
 'planets and satellites: detection' 'stars: abundances'
 'stars: atmospheres' 'stars: fundamental parameters'
 'stars: individual: EPIC 201367065' 'stars: individual: EPIC-206011691'
 'stars: individual: K2-26' 'stars: individual: K2-95' 'stars: late-type'
 'stars: low-mass' 'stars: solar-type' 'techniques: photometric'
 'techniques: radial velocities' 'techniques: spectroscopic']"
github.com/awmann/teff_rad_mass_lum,teff_rad_mass_lum,5,57,5,"['arXiv:1507.08256', 'arXiv:1501.03798', 'arXiv:1608.04760', 'arXiv:1601.02706', 'arXiv:1511.09213']",248,5,"['Astrophysics - Earth and Planetary Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'K2-9' 'eclipses'
 'planetary systems' 'planets and satellites: detection'
 'stars: individual: EPIC 201367065' 'stars: individual: EPIC-206011691'
 'stars: individual: K2-26' 'stars: individual: K2-95' 'stars: late-type'
 'stars: low-mass' 'stars: solar-type' 'techniques: photometric'
 'techniques: radial velocities' 'techniques: spectroscopic']"
github.com/barentsen/iphas-dr2,iphas-dr2,1,53,1,['arXiv:1406.4862'],73,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'Astrophysics - Solar and Stellar Astrophysics' 'Be'
 'Galaxy: stellar content' 'catalogues' 'stars: emission-line' 'surveys']"
github.com/barnabytprowe/great3-public,great3-public,2,32,2,"['arXiv:1308.4982', 'arXiv:1702.02600']",130,1,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'gravitational lensing: weak' 'methods: data analysis'
 'methods: statistical' 'techniques: image processing']"
github.com/bayesflare/bayesflare,bayesflare,0,0,0,[],0.0,0.0,[]
github.com/bbhpsu/pflueger_etal18,pflueger_etal18,1,7,1,['arXiv:1803.02368'],4,1,"['Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - High Energy Astrophysical Phenomena'
 'General Relativity and Quantum Cosmology' 'accretion' 'accretion disks'
 'black hole physics' 'galaxies: nuclei' 'methods: analytical']"
github.com/bccp/conda-channel-bccp,conda-channel-bccp,1,7,1,['arXiv:1712.05834'],21,0,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'large-scale structure of universe' 'methods: data analysis'
 'methods: numerical']"
github.com/bccp/nbodykit,nbodykit,8,21,5,"['arXiv:1712.05834', 'arXiv:1704.06634', 'arXiv:1611.05007', 'arXiv:1704.02357', 'arXiv:1903.02030', 'arXiv:1805.02247', 'arXiv:1706.02362', 'arXiv:1811.10640']",100,0,"['Astrophysics - Cosmology and Nongalactic Astrophysics'
 'Astrophysics - Instrumentation and Methods for Astrophysics'
 'large-scale structure of universe' 'methods: data analysis'
 'methods: numerical']"
github.com/bckelly80/carma_pack,carma_pack,1,5,1,['arXiv:1402.5978'],67,1,"['Astrophysics - Instrumentation and Methods for Astrophysics'
 'methods: statistical']"
github.com/bd-j/prospector,prospector,4,24,4,"['arXiv:1802.00133', 'arXiv:1805.04118', 'arXiv:1609.09073', 'arXiv:1705.08906']",79,4,"['2442' 'Astrophysics - Astrophysics of Galaxies'
 'Astrophysics - Solar and Stellar Astrophysics' 'atlases'
 'galaxies: clusters: individual: eMACSJ1341.9' 'galaxies: dwarf'
 'galaxies: evolution' 'galaxies: fundamental parameters'
 'galaxies: general' 'galaxies: star formation'
 'galaxies: stellar content' 'gravitational lensing: strong'
 'infrared: stars' 'planets and satellites: fundamental parameters'
 'stars: fundamental parameters' 'techniques: spectroscopic']"
github.com/beast-fitting/beast,beast,1,9,1,['arXiv:1709.01093'],4,1,"['Astrophysics - Astrophysics of Galaxies' 'Magellanic Clouds' 'dust'
 'extinction' 'galaxies: ISM' 'galaxies: structure']"
